month,revenue_tm0,revenue_tm1,streams_tm0,streams_tm1,streams_tm2,facebook_likes,facebook_talks,instagram_followers,spotify_followers,spotify_listeners,spotify_popularity,wikipedia_views,youtube_comments,youtube_subscribers,youtube_videos,youtube_views
4/1/17,38317.51282,39910.60483,16069211,18175676,16319181,790440,0,63903,96543,0,56,1350,441,45241,200,13401957
5/1/16,190482.0968,194279.3964,43550306,44691366,46323752,5152049,0,0,0,0,0,3481,6941,534829,107,792090814
6/1/16,188481.5557,190482.0968,43185573,43550306,44691366,5167341,0,0,0,0,0,2785,6941,547438,107,805199489
8/1/16,185631.0911,200761.7194,48549515,47717740,43185573,5183962,0,0,0,0,0,3316,6941,574476,107,832159661
9/1/16,199061.2393,185631.0911,59595539,48549515,47717740,5191983,0,0,0,0,0,3208,6941,589654,107,847545756
10/1/16,214736.3277,199061.2393,68732283,59595539,48549515,5198226,0,0,0,0,0,3042,6941,604390,107,862445573
6/1/18,316994.9798,291762.0515,106944661,111053915,100620258,5170336,15962,363046,750872,7102328,73,4507,0,1528266,111,965851492
10/1/18,296516.8977,272132.4604,108497591,99086129,100204270,5150579,5671,474288,869293,7915052,74,3861,0,1787153,113,1050481459
9/1/17,120444.5132,119102.7478,37090321,35959452,36188379,3996974,0,27103,718860,0,73,1759,886,0,20,1054151574
11/1/18,199273.826,226348.4291,75437748,75595256,67908953,0,0,0,1337782,8735659,75,3450,0,0,22,1480590552
6/1/18,1155.522635,1102.442662,533912,344194,377428,1041878,2319,140691,313899,787563,61,933,0,66568,55,11804058
8/1/16,4936.772256,5594.239207,953229,1051042,958610,12007647,0,0,0,0,0,0,18,32529,297,14004982
4/1/16,353710.8549,333326.7213,76220740,76022624,72330769,0,0,0,0,0,0,14036,0,0,0,0
5/1/16,327092.2399,353710.8549,71149835,76220740,76022624,0,0,0,0,0,0,10435,0,0,0,0
6/1/16,335421.6637,327092.2399,68647515,71149835,76220740,0,0,0,0,0,0,10572,0,0,0,0
1/1/17,401086.322,388088.372,107381679,99786790,95375918,36754959,0,14509903,2066296,0,82,13935,5615,0,99,728799979
6/1/17,400464.8935,398515.5526,111824307,112154566,113739798,36671110,0,17776420,2430442,0,84,14043,5615,0,104,774845127
8/1/17,426632.1457,449994.5959,118672199,122522092,111824307,36615040,0,18787821,2591636,0,86,9993,5615,0,101,777415334
9/1/17,417370.2942,426632.1457,113502921,118672199,122522092,36565244,0,19236382,2665243,0,86,9707,5615,0,100,779641883
12/1/17,394765.0211,396263.3299,117591707,111146021,119619912,36444700,0,20564946,2867182,0,85,10121,5615,0,102,812979135
3/1/18,451121.0035,409691.323,140492122,125586065,136478587,36371760,102190,22138455,3118927,12785579,84,11133,5615,0,110,844775690
4/1/18,456546.9389,451121.0035,151972177,140492122,125586065,36345404,124226,22895485,3235650,13149157,83,12371,5615,0,115,858147365
6/1/18,469177.5538,438135.108,305645304,211235779,151972177,36274462,86512,24087615,3437033,13024166,83,13666,0,0,115,878854994
8/1/18,470875.1178,487272.4279,371825305,333356901,305645304,36122775,42152,26244768,3645816,12503335,81,10826,0,0,117,894118020
10/1/18,710950.0915,507524.5598,501396455,440110789,371825305,0,0,28381447,3813010,13724567,84,11882,0,0,117,906809944
6/1/16,140515.2379,138268.9947,21190439,22183647,22116011,0,0,0,0,0,0,1426,0,0,0,0
1/1/17,135171.7115,135261.0549,32324293,33578463,31593102,0,0,0,343442,0,74,1394,0,0,0,0
4/1/17,153930.4905,149335.844,39481469,38870350,32969242,2056282,0,223595,427366,0,74,1469,0,0,0,0
5/1/17,153086.9191,153930.4905,39218401,39481469,38870350,2055408,0,226536,454222,0,76,1473,0,0,0,0
9/1/17,150274.4545,160934.4353,36994386,38584729,40901022,2053101,0,237177,570473,0,79,1273,0,0,0,0
9/1/18,198314.9354,212358.7192,65090291,65717690,70583530,2028870,3377,326565,991020,7886652,73,1456,0,0,0,0
10/1/18,217828.0619,198314.9354,74807862,65090291,65717690,2026430,2322,341514,1011733,7660108,74,1688,0,0,0,0
9/1/16,22783.36593,23817.23028,4708138,4675651,4716041,10471495,0,0,0,0,0,3136,411,280284,50,221292269
9/1/18,39435.33082,45170.33672,11061700,12464150,12805861,10506238,50849,1735254,3795911,6560817,76,3100,0,426286,51,374725487
10/1/18,40645.68941,39435.33082,11107935,11061700,12464150,10495949,49171,1763424,3901029,6798379,77,3134,0,425770,51,381007517
11/1/16,688895.0424,709498.1452,153118908,153462120,136890345,29098089,0,0,2854219,0,82,8059,13167,2444871,632,1541471008
8/1/17,846720.2508,873208.6908,183652750,182894299,168069449,28847277,0,0,4244067,0,84,6953,13167,3191168,674,2126555172
9/1/17,845544.1236,846720.2508,183189404,183652750,182894299,28818242,0,122033,4502944,0,85,12571,13167,3286873,675,2196498067
10/1/17,915831.1488,845544.1236,198322835,183189404,183652750,28787846,0,0,4821777,0,86,6595,13167,3390747,677,2275937803
10/1/18,1658689.25,1119424.993,358006308,258225805,253645162,28444783,183403,806656,9697916,19501962,86,27283,0,5389504,738,3234719462
8/1/16,57553.40133,63051.64179,10827110,10575710,9200658,1230571,0,0,0,0,0,3174,253,0,62,67244575
10/1/17,72483.11043,68512.81835,16109232,14957231,15295364,1237824,0,107264,227131,0,68,2426,253,0,62,94941031
11/1/17,66935.05319,72483.11043,15444907,16109232,14957231,1237114,0,110367,238295,0,69,2124,253,0,62,96979862
1/1/18,78535.25652,70341.50834,20935633,17263484,15444907,1236143,0,116213,270139,0,66,2593,253,0,62,100573911
10/1/18,82577.84175,78071.32538,20574733,19078890,19616514,0,0,151474,397399,2546852,66,2149,0,0,62,113556678
9/1/16,84292.23221,74440.69017,42421621,35112534,33038198,1821189,0,0,0,0,0,2967,0,100,2,1520
10/1/16,100151.4935,84292.23221,51263972,42421621,35112534,1824427,0,0,0,0,0,3226,0,100,2,1584
2/1/17,89207.46734,95763.27541,47707748,53484880,48522931,2066945,0,0,807614,0,80,4573,0,104,2,1785
10/1/17,116653.3779,102414.7961,50125123,47354493,47722435,2226565,0,18866,973959,0,81,4396,0,128,2,2119
5/1/18,110904.1843,118886.0242,68612008,71719865,79130689,2235645,6251,21464,1163691,4277887,76,3466,0,148,2,2360
10/1/18,130018.9793,116550.0433,85527839,76609868,73035946,2229158,2183,21300,1313183,4190164,77,3384,0,161,2,2548
5/1/16,9005.845709,10376.07402,1761770,1908011,2010693,3663234,0,0,0,0,0,3970,0,0,0,0
9/1/16,8826.758285,9156.256229,2195986,1953584,1962688,3703658,0,0,0,0,0,2208,0,0,0,0
11/1/16,10081.68643,10277.06352,3017776,2746724,2195986,3729626,0,0,219362,0,64,2189,0,0,0,0
1/1/17,9741.76441,13115.45157,2474204,3236067,3017776,3758666,0,0,255959,0,66,2278,0,0,0,0
5/1/18,49599.37863,77172.06788,9016512,11160574,10228417,3758956,8973,2704737,1078490,2636377,66,2634,0,0,0,0
9/1/18,29250.3553,34676.8411,5965967,6802147,7752673,3738773,5067,2806262,1286002,2295771,64,2893,0,0,0,0
10/1/18,29679.84182,29250.3553,5878614,5965967,6802147,0,0,2811051,1325918,2372842,66,3360,0,0,0,0
11/1/16,83806.98405,92122.18358,20142926,21421690,15650690,3702057,0,0,386980,0,66,1623,2010,14729,60,3464511
4/1/16,71771.29595,73679.49385,14077700,14768304,15032724,2203975,0,0,0,0,0,909,268,15762,7,5711302
5/1/16,64735.8667,71771.29595,12994924,14077700,14768304,2204027,0,0,0,0,0,837,268,15776,7,5930623
6/1/16,64636.36325,64735.8667,12658909,12994924,14077700,2203909,0,0,0,0,0,848,268,15784,7,5947378
7/1/16,67998.23239,64636.36325,13404901,12658909,12994924,2205465,0,0,0,0,0,893,268,15787,7,5969486
5/1/17,52692.22939,56437.11734,13531803,12909887,12350507,2199703,0,67641,522465,0,63,800,268,15757,7,6129179
9/1/17,56310.04658,54983.27091,11666304,12136764,12356412,2193388,0,75213,575513,0,66,765,268,15690,7,6158598
10/1/17,60112.83264,56310.04658,12822225,11666304,12136764,2191344,0,77043,594010,0,67,705,268,15680,7,6166496
10/1/18,72508.89861,57167.51983,20817105,16490691,16524523,2150935,5628,112115,826354,1936216,64,913,0,15537,7,6346229
7/1/16,154825.0674,149332.0707,35716211,33295310,34696019,4984099,0,0,0,0,0,2302,1545,0,24,414976486
11/1/16,161439.2608,173401.1055,40363597,43255275,39553800,4976867,0,0,711239,0,73,2160,1545,0,24,451071769
10/1/16,54706.80901,33639.46323,23758862,13357347,1194034,5328044,0,0,0,0,0,2335,1102,204817,184,89421807
1/1/17,55513.29558,47326.19575,23092685,20358692,20056213,5341215,0,0,402008,0,66,3050,1102,213802,187,97220305
7/1/17,61333.63944,62840.96659,25694388,24482476,25014396,5355311,0,267824,592619,0,68,2610,1102,230480,195,110196389
9/1/17,62757.73702,67815.61073,25311635,26447840,25694388,5352125,0,283206,685309,0,69,2285,1102,233630,202,112611321
10/1/17,60561.58198,62757.73702,23897085,25311635,26447840,5348776,0,295785,740752,0,70,2293,1102,234866,206,113613169
10/1/18,241397.932,229970.9867,58395044,54741986,60283973,5298242,26635,472569,1428663,3362477,70,2888,0,331936,199,18789020
8/1/16,14182.24297,15033.82181,3010654,3090168,2833076,1097212,0,0,0,0,0,0,259,134535,273,66191691
12/1/16,15582.32315,15549.10268,3554383,3633314,3912195,1101834,0,0,295752,0,63,258,259,140210,274,70906829
1/1/17,15904.11538,15582.32315,3394730,3554383,3633314,1102733,0,0,303341,0,63,296,259,141434,274,72326114
9/1/17,15835.90099,16991.1735,3380420,3685356,4069719,1110896,0,115406,369202,0,67,885,259,154652,281,82556657
3/1/18,20534.21093,19566.75504,4920207,4012378,4042151,1111230,5964,130257,434645,2826006,65,1820,259,165619,293,90869482
6/1/18,23294.24525,19533.54254,5537923,5193470,4991784,1105244,1510,138179,468099,3143704,65,1172,0,185212,294,94348644
8/1/18,21431.87621,22413.65997,5602246,5626078,5537923,1106157,6621,151155,486832,3256485,62,1481,0,190415,294,96452281
10/1/18,18177.527,19951.3272,4393118,4855337,5602246,1107692,5238,165292,508233,3219460,66,1600,0,195394,296,98584337
3/1/16,7236.720462,8614.257734,926401,1112721,1348451,0,0,143259,0,0,0,0,1187,14817,14,677835
11/1/17,3808.036215,4654.136977,761699,835533,785148,1642184,0,404395,408621,0,67,7473,1187,22492,16,1679634
5/1/16,923809.5576,1066885.795,140571303,155600923,170819504,42349201,0,0,0,0,0,12761,928,203738,155,25089771
12/1/16,1039305.599,973240.9347,196936818,186810927,200781760,42322752,0,0,2507695,0,85,13490,928,229751,176,35760899
4/1/17,1141803.445,1070610.814,220134010,213908471,195462309,42104781,0,0,3096284,0,82,12361,928,244909,183,45425749
6/1/17,1350209.064,1250753.729,254085372,238047522,220134010,42008324,0,0,3410372,0,86,14790,928,254543,186,50781480
8/1/17,1220129.441,1295627.888,231533852,238908632,254085372,41890276,0,0,3785727,0,87,10837,928,261275,186,55098335
9/1/17,1197667.753,1220129.441,225095475,231533852,238908632,41826993,0,0,4067340,0,88,12144,928,263825,189,56987179
10/1/17,1267180.971,1197667.753,248417057,225095475,231533852,41763391,0,0,4446706,0,89,12634,928,266244,193,58336104
5/1/18,1238749.86,1330839.224,253761937,259539465,254631885,41243957,67577,0,7617848,13312530,85,11961,522,1717251,200,67121215
10/1/18,1205830.712,1197215.543,276974427,268788276,272762330,40852007,122943,0,9668482,14781646,87,12434,0,2276732,212,72526474
11/1/17,42103.63215,47295.6602,9529620,9267668,8627288,2429297,0,694269,389841,0,69,9459,412,0,24,15842564
10/1/18,125330.9253,150696.9321,27361073,31176964,42095327,0,0,986640,805627,5821469,74,15101,0,0,43,27848457
1/1/18,4709.114768,3391.847787,1342177,979846,1065188,2420,0,0,109170,0,60,2694,0,0,0,0
10/1/18,5044.79694,5327.871612,1310214,1375365,1328797,0,0,0,207397,1655828,62,1300,0,0,0,0
7/1/16,378.4810868,328.4223978,62690,69821,67524,313776,0,0,0,0,0,1127,0,0,0,0
1/1/17,495.8814074,529.3851051,141805,174081,175459,318267,0,0,130354,0,57,811,0,0,0,0
3/1/17,417.6654881,365.5338587,110481,98309,141805,319106,0,0,138351,0,55,827,0,0,0,0
7/1/18,520.8921564,554.8770946,135182,146191,142715,322650,1800,11259,234628,1157271,56,995,0,0,0,0
9/1/17,110556.5864,115322.6148,25775609,27105719,29439112,3583477,0,268711,703043,0,71,3039,8776,134236,71,30483229
11/1/16,40458.88866,46385.01722,10713259,11869746,8799458,1696792,0,0,259514,0,64,1382,206,0,9,43586019
9/1/18,11106.21572,10692.70019,3196771,2994208,3245720,1667929,1629,118031,891659,2991557,65,1335,0,0,6,44159492
7/1/16,3438.385358,2734.30038,753165,606976,592186,0,0,0,0,0,0,2045,633,152325,334,82479154
9/1/16,4113.88818,3923.627049,1409300,889634,753165,0,0,0,0,0,0,2863,633,162193,343,89140868
